service_code,service_full_name,main_resource_example,secondary_examples,from_operation,id_fields_seen
accessanalyzer,Access Analyzer,AccessPreviewFinding,AccessPreviewSummary;AnalyzedResourceSummary,ListAccessPreviewFindings,existingFindingId
account,AWS Account,Region,,ListRegions,RegionName
acm,AWS Certificate Manager,CertificateSummary,DomainValidation;DomainValidation,ListCertificates,CertificateArn;DomainName
acm-pca,AWS Certificate Manager Private Certificate Authority,Action,CertificateAuthority;AccessDescription,ListPermissions,ActionName
aiops,AWS AI Ops,CrossAccountConfiguration,ListInvestigationGroupsModel,GetInvestigationGroup,sourceRoleArn
amp,Amazon Prometheus Service,ScraperSummary,WorkspaceSummary;securityGroup,ListScrapers,roleArn;scraperId
amplify,AWS Amplify,Branch,Webhook;DomainAssociation,ListBranches,activeJobId;backendEnvironmentArn;branchArn;branchName;computeRoleArn;displayName;pullRequestEnvironmentName
amplifybackend,AmplifyBackend,BackendJobRespObj,S3BucketInfo;AdditionalConstraint,ListBackendJobs,AppId;BackendEnvironmentName;JobId
amplifyuibuilder,AWS Amplify UI Builder,CodegenJobSummary,ComponentSummary;FormSummary,ListCodegenJobs,appId;environmentName
apigateway,Amazon API Gateway,Domain,Stage;DomainNameAccessAssociation,GetDomainNames,certificateArn;certificateName;distributionDomainName;distributionHostedZoneId;domainName;domainNameArn;domainNameId;ownershipVerificationCertificateArn;regionalCertificateArn;regionalCertificateName;regionalDomainName;regionalHostedZoneId
apigatewayv2,AmazonApiGatewayV2,DomainNameConfiguration,DomainNameConfiguration;DomainNameConfiguration,CreateDomainName,ApiGatewayDomainName;CertificateArn;CertificateName;HostedZoneId;OwnershipVerificationCertificateArn
appconfig,Amazon AppConfig,ExtensionSummary,ActionInvocation;ActionInvocation,ListExtensions,Arn;Id;Name
appfabric,AppFabric,UserAccessResultItem,AppAuthorizationSummary;IngestionSummary,BatchGetUserAccessTasks,taskId;tenantDisplayName;tenantId;userFirstName;userFullName;userId;userLastName
appflow,Amazon Appflow,ConnectorProfile,FlowDefinition;ConnectorDetail,DescribeConnectorProfiles,connectorProfileArn;connectorProfileName;credentialsArn
appintegrations,Amazon AppIntegrations Service,ApplicationSummary,EventIntegrationAssociation;ApplicationAssociationSummary,ListApplications,Arn;Id;Name
application-autoscaling,Application Auto Scaling,ScheduledAction,Alarm;MetricDimension,DescribeScheduledActions,ResourceId;ScheduledActionName
application-insights,Amazon CloudWatch Application Insights,ApplicationInfo,Observation;ConfigurationEvent,ListApplications,AccountId;OpsItemSNSTopicArn;ResourceGroupName;SNSNotificationArn
application-signals,Amazon CloudWatch Application Signals,MetricReference,MetricReference;MetricReference,ListServiceDependencies,AccountId;MetricName
applicationcostprofiler,AWS Application Cost Profiler,ReportDefinition,,ListReportDefinitions,reportId
appmesh,AWS App Mesh,GatewayRouteRef,MeshRef;RouteRef,ListGatewayRoutes,gatewayRouteName;meshName;virtualGatewayName
apprunner,AWS App Runner,ServiceSummary,VpcDNSTarget;VpcDNSTarget,ListServices,ServiceArn;ServiceId;ServiceName
appstream,Amazon AppStream,User,AppBlock;AppBlockBuilder,DescribeUsers,Arn;FirstName;LastName;UserName
appsync,AWS AppSync,DomainNameConfig,FunctionConfiguration;Api,ListDomainNames,appsyncDomainName;certificateArn;domainName;domainNameArn;hostedZoneId
apptest,AWS Mainframe Modernization Application Testing,TestCaseSummary,TestConfigurationSummary;TestRunStepSummary,ListTestCases,testCaseArn;testCaseId
arc-region-switch,ARC - Region switch,AbbreviatedExecution,EksCluster;EksCluster,ListPlanExecutions,executionId;planArn
arc-zonal-shift,AWS ARC - Zonal Shift,ZonalShiftInResource,ZonalShiftSummary;availabilityZone,ListManagedResources,zonalShiftId
