service_code,service_name,regions,main_resource_example
apigateway,Amazon API Gateway,us-east-1,RestApi
accessanalyzer,AWS ACCESSANALYZER,us-east-1,Resource
amplifyuibuilder,AWS AMPLIFYUIBUILDER,us-east-1,Resource
amplify,AWS AMPLIFY,us-east-1,Resource
amp,AWS AMP,us-east-1,Resource
acm,AWS ACM,us-east-1,Resource
account,AWS ACCOUNT,aws-global,Resource
amplifybackend,AWS AMPLIFYBACKEND,us-east-1,Resource
aiops,AWS AIOPS,us-east-1,Resource
acm-pca,AWS ACM-PCA,us-east-1,Resource
apigatewaymanagementapi,AWS APIGATEWAYMANAGEMENTAPI,us-east-1,Resource
appconfig,AWS APPCONFIG,us-east-1,Resource
appconfigdata,AWS APPCONFIGDATA,us-east-1,Resource
apigatewayv2,AWS APIGATEWAYV2,us-east-1,Resource
appfabric,AWS APPFABRIC,us-east-1,Resource
appintegrations,AWS APPINTEGRATIONS,us-east-1,Resource
appflow,AWS APPFLOW,us-east-1,Resource
application-insights,AWS APPLICATION-INSIGHTS,us-east-1,Resource
application-autoscaling,AWS APPLICATION-AUTOSCALING,us-east-1,Resource
application-signals,AWS APPLICATION-SIGNALS,us-east-1,Resource
applicationcostprofiler,AWS APPLICATIONCOSTPROFILER,us-east-1,Resource
appmesh,AWS APPMESH,us-east-1,Resource
apprunner,AWS APPRUNNER,us-east-1,Resource
appstream,AWS APPSTREAM,us-east-1,Resource
artifact,AWS ARTIFACT,us-east-1,Resource
arc-zonal-shift,AWS ARC-ZONAL-SHIFT,us-east-1,Resource
arc-region-switch,AWS ARC-REGION-SWITCH,us-east-1,Resource
appsync,AWS APPSYNC,us-east-1,Resource
auditmanager,AWS AUDITMANAGER,us-east-1,Resource
athena,AWS ATHENA,us-east-1,Resource
autoscaling,Auto Scaling,us-east-1,AutoScalingGroup
autoscaling-plans,AWS AUTOSCALING-PLANS,us-east-1,Resource
b2bi,AWS B2BI,us-east-1,Resource
backup,AWS BACKUP,us-east-1,Resource
backup-gateway,AWS BACKUP-GATEWAY,us-east-1,Resource
backupsearch,AWS BACKUPSEARCH,us-east-1,Resource
bcm-dashboards,AWS BCM-DASHBOARDS,us-east-1,Resource
bcm-data-exports,AWS BCM-DATA-EXPORTS,us-east-1,Resource
